,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,id,text
4366,376,24h,I received a higher grade on a test than I expected.,I received a higher grade on a test than I expected.,True,1,achievement,achievement,18316,expected grade received test
4378,376,24h,I was able to brew tea well.,I was able to brew tea well.,True,1,achievement,achievement,30046,brewed tea
4381,376,3m,I received a very profound compliment from an instructor of mine.,I received a very profound compliment from an instructor of mine.,True,1,achievement,achievement,37248,complimented instructor mine profound received
4392,376,3m,I manage to get up at a usually impossibly late time for me.,I manage to get up at a usually impossibly late time for me.,True,1,achievement,achievement,67450,impossible late managed time
4455,1827,24h,Having sex with my girlfriend,Having sex with my girlfriend,True,1,affection,affection,7144,girlfriend sex
4456,1827,24h,Getting a work promotion,Getting a work promotion,True,1,achievement,achievement,8138,promotion
4705,220,24h,Seeing a friend I haven't seen in a long time,Seeing a friend I haven't seen in a long time,True,1,bonding,bonding,553,friend havent time
4709,220,24h,I went to a friends party for Saturday and we just had a great time having fun.,I went to a friends party for Saturday and we just had a great time having fun.,True,1,bonding,bonding,10097,friend fun party saturday time
4714,220,24h,Got new wireless headphones for my iPhone 7 Plus,Got new wireless headphones for my iPhone 7 Plus,True,1,achievement,achievement,15349,headphones iphone wireless
4728,220,3m,I was able to get my car fixed,I was able to get my car fixed,True,1,achievement,achievement,52610,car fixed
4736,220,3m,Going out to a dinner event.,Going out to a dinner event.,True,1,enjoy_the_moment,enjoy_the_moment,66426,dinner event
4746,220,24h,Going out to a movie theater to watch a good movie.,Going out to a movie theater to watch a good movie.,True,1,leisure,leisure,82549,movie movie theater watched
4748,220,24h,hitting the gym and working out,hitting the gym and working out,True,1,exercise,exercise,90939,gym hit
5062,699,24h,I met with my school friends and enjoyed a lot.,I met with my school friends and enjoyed a lot.,True,1,bonding,bonding,565,enjoyed friend met school
5064,699,24h,I met with my school friends and enjoyed a lot.,I met with my school friends and enjoyed a lot.,True,1,bonding,bonding,3353,enjoyed friend met school
5069,699,24h,I got a promotion at my work. I am very happy,I got a promotion at my work. I am very happy,True,2,achievement,achievement,8834,promotion
5070,699,24h,I went on a trip with my school friends and enjoyed a lot.,I went on a trip with my school friends and enjoyed a lot.,True,1,bonding,bonding,9134,enjoyed friend school trip
5072,699,24h,I went in a birthday party of my friend and enjoyed a lot.,I went in a birthday party of my friend and enjoyed a lot.,True,1,bonding,bonding,9771,birthday enjoyed friend party
5074,699,24h,I received a gift from my girlfriend without any reason.,I received a gift from my girlfriend without any reason.,True,1,affection,affection,11761,gift girlfriend reason received
5077,699,24h,I met with my college friends and enjoyed a lot.,I met with my college friends and enjoyed a lot.,True,1,bonding,bonding,15321,college enjoyed friend met
5078,699,24h,I met with my school friends and enjoyed a lot.,I met with my school friends and enjoyed a lot.,True,1,bonding,bonding,16525,enjoyed friend met school
5097,699,24h,i got promotion at my work-place.,i got promotion at my work-place.,True,1,achievement,achievement,94923,promotion workplace
5213,62,24h,last night  i went to dance bar with my lover.,last night  i went to dance bar with my lover.,True,1,affection,affection,6156,bar dance lover night
5218,62,24h,i got a leave today from my office,i got a leave today from my office,True,1,achievement,achievement,9286,leave office
5232,62,24h,i talked my old teachers today,i talked my old teachers today,True,1,bonding,bonding,25446,talked teacher
5239,62,3m,last month i visited my grandmas home,last month i visited my grandmas home,True,1,affection,affection,44602,grandma home visit
5247,62,3m,LAST MONTH I PURCHASE DRESSES FOR MY FAMILY,LAST MONTH I PURCHASE DRESSES FOR MY FAMILY,True,1,affection,affection,56137,dress family purchased
5273,62,24h,i went to see the latest move five times,i went to see the latest move five times,True,1,leisure,leisure,93862,moved time
5274,62,24h,i went to see the waterfalls,i went to see the waterfalls,True,1,nature,nature,94859,waterfall
5531,179,24h,I enjoyed play Soccer with my brother,I enjoyed play Soccer with my brother,True,1,affection,affection,173,brother enjoyed played soccer
5539,179,24h,I love go to a stadium with my sons to watch the Football game,I love go to a stadium with my sons to watch the Football game,True,1,affection,affection,7797,football game love son stadium watched
5541,179,24h,I love play Soccer with my Friends in the Stadium,I love play Soccer with my Friends in the Stadium,True,1,exercise,exercise,11371,friend love played soccer stadium
5544,179,24h,I love play Soccer with my Friends in the Stadium,I love play Soccer with my Friends in the Stadium,True,1,exercise,exercise,22686,friend love played soccer stadium
5547,179,3m,I love play Soccer with my Friends in the Stadium,I love play Soccer with my Friends in the Stadium,True,1,exercise,exercise,34187,friend love played soccer stadium
5553,179,3m,I love play baseball with my Friends in the Stadium,I love play baseball with my Friends in the Stadium,True,1,bonding,bonding,47586,baseball friend love played stadium
5559,179,3m,I enjoyed play Football with my Friends in the Stadium,I enjoyed play Football with my Friends in the Stadium,True,1,bonding,bonding,55539,enjoyed football friend played stadium
5568,179,3m,I love play Soccer in the Stadium with my Friends,I love play Soccer in the Stadium with my Friends,True,1,bonding,exercise,64460,friend love played soccer stadium
5571,179,3m,I love play Soccer in the Stadium with my Friends,I love play Soccer in the Stadium with my Friends,True,1,bonding,exercise,67477,friend love played soccer stadium
5573,179,3m,I love play voleyball with my Friends in the beach,I love play voleyball with my Friends in the beach,True,1,bonding,bonding,69498,beach friend love played voleyball
5574,179,3m,I love watch movies with my Friends in my house,I love watch movies with my Friends in my house,True,1,bonding,bonding,70490,friend house love movie watched
5575,179,3m,I love play monopoly with my sons and wife in my house,I love play monopoly with my sons and wife in my house,True,1,affection,affection,71483,house love monopoly played son wife
5576,179,3m,I love play Soccer with my Friends in the Stadium,I love play Soccer with my Friends in the Stadium,True,1,exercise,exercise,72440,friend love played soccer stadium
5583,179,3m,I love play Soccer in the Stadium with my Friends,I love play Soccer in the Stadium with my Friends,True,1,bonding,exercise,79234,friend love played soccer stadium
5586,179,24h,I love have sex with my wife in my bed,I love have sex with my wife in my bed,True,1,affection,affection,82950,bed love sex wife
5595,179,24h,I love play Soccer in the Stadium with my Friends,I love play Soccer in the Stadium with my Friends,True,1,bonding,exercise,92021,friend love played soccer stadium
5597,179,24h,I love play Soccer with my Friends in the Stadium,I love play Soccer with my Friends in the Stadium,True,1,exercise,exercise,93135,friend love played soccer stadium
5599,179,24h,I love play monopoly with my wife and sons in my house,I love play monopoly with my wife and sons in my house,True,1,affection,affection,95129,house love monopoly played son wife
5601,179,24h,I love play Soccer with my Friends in the Stadium,I love play Soccer with my Friends in the Stadium,True,1,exercise,exercise,97129,friend love played soccer stadium
5602,179,24h,I love watch movies with my wife in my bedroom,I love watch movies with my wife in my bedroom,True,1,affection,affection,98122,bedroom love movie watched wife
6076,847,24h,I hit a new PR on shoulders at the gym.,I hit a new PR on shoulders at the gym.,True,1,exercise,exercise,19464,gym hit pr shoulder
6083,847,3m,My friends came over,My friends came over,True,1,bonding,bonding,35187,friend
6084,847,3m,Won 50$,Won 50$,True,1,achievement,achievement,38164,won
6086,847,3m,I was able to regain my strength in the gym after taking a month off.,I was able to regain my strength in the gym after taking a month off.,True,1,achievement,achievement,43032,gym regain strength taking
6088,847,3m,I was relieved of my duty and no longer had to work.,I was relieved of my duty and no longer had to work.,True,1,achievement,achievement,45931,duty relieved
6091,847,3m,I pooped and it felt good.,I pooped and it felt good.,True,1,enjoy_the_moment,enjoy_the_moment,51951,poop
6098,847,3m,I went to the beach.,I went to the beach.,True,1,leisure,leisure,64766,beach
6482,1683,24h,I got accepted into the college I applied for.,I got accepted into the college I applied for.,True,1,achievement,achievement,611,accepted applied college
6493,1683,24h,I ate pizza for dinner tonight!,I ate pizza for dinner tonight!,True,1,enjoy_the_moment,enjoy_the_moment,23381,ate dinner pizza tonight
6509,197,24h,One event that made me happy in the past 24 hours was being able to buy my girlfriend a surprise gift.,One event that made me happy in the past 24 hours was being able to buy my girlfriend a surprise gift.,True,1,affection,affection,16712,buy event gift girlfriend hours surprise
6522,197,3m,Another event that made me happy in the past 3 months was being able to buy my girlfriend a surprise gift.,Another event that made me happy in the past 3 months was being able to buy my girlfriend a surprise gift.,True,1,affection,affection,41625,buy event gift girlfriend surprise
6529,197,3m,Another event that made me happy in the past 3 months was being able to buy my girlfriend flowers as a surprise.,Another event that made me happy in the past 3 months was being able to buy my girlfriend flowers as a surprise.,True,1,affection,affection,56449,buy event flowers girlfriend surprise
6534,197,3m,Another event that made me happy in the past 3 months was being able to buy my mom a gift for mother's day.,Another event that made me happy in the past 3 months was being able to buy my mom a gift for mother's day.,True,1,affection,affection,62193,buy day event gift mom mother
6538,197,3m,Another event that made me happy in the past 3 months was being able to meet a new friend and receive gifts from them early on in our friendship.,Another event that made me happy in the past 3 months was being able to meet a new friend and receive gifts from them early on in our friendship.,True,1,bonding,bonding,66098,event friend friendship gift meet received
6545,197,24h,One event that made me happy in the past 24 hours was being able to get pizza for dinner with my girlfriend.,One event that made me happy in the past 24 hours was being able to get pizza for dinner with my girlfriend.,True,1,affection,affection,81534,dinner event girlfriend hours pizza
6553,197,24h,Another event that made me happy in the past 24 hours was being able to work towards my goals at work and achieve a bonus.,Another event that made me happy in the past 24 hours was being able to work towards my goals at work and achieve a bonus.,True,1,achievement,achievement,98291,achieved bonus event goal hours
6680,9264,24h,I received a birthday gift in the mail from a good friend of mine.,I received a birthday gift in the mail from a good friend of mine.,True,1,bonding,bonding,621,birthday friend gift mail mine received
6710,5232,24h,I talked to my girlfriend recently and she told me that she loved me.,I talked to my girlfriend recently and she told me that she loved me.,True,1,affection,affection,623,girlfriend love recently talked told
6719,2692,3m,Seeing my grandparents again for the holidays,Seeing my grandparents again for the holidays,True,1,affection,affection,38911,grandparents holiday
6724,1397,24h,I prepped oatmeal for a few months so I have plenty of great breakfasts ready.,I prepped oatmeal for a few months so I have plenty of great breakfasts ready.,True,1,achievement,achievement,1125,breakfast oatmeal plenty prep ready
6725,1397,24h,I went to the gym with a friend of mine who I hadn't seen in a long time.,I went to the gym with a friend of mine who I hadn't seen in a long time.,True,1,bonding,bonding,1623,friend gym hadnt mine time
6727,1397,24h,I bought several books for cheap that would allow me to study well for an upcoming test.,I bought several books for cheap that would allow me to study well for an upcoming test.,True,1,achievement,achievement,3122,book bought cheap study test upcoming
6873,598,24h,I am getting better at doing homework without having a mental breakdown or sleeping.,I am getting better at doing homework without having a mental breakdown or sleeping.,True,1,achievement,achievement,1131,breakdown homework mental sleep
6876,598,24h,I was able to get back to using reusable cloth pads instead of disposable cotton ones so I can prevent a lot of monthly landfill waste.,I was able to get back to using reusable cloth pads instead of disposable cotton ones so I can prevent a lot of monthly landfill waste.,True,1,achievement,achievement,11080,clothes cotton disposable landfill monthly pad prevent reusable waste
6879,598,24h,When I was sad my cat jumped up and sat on my stomach.,When I was sad my cat jumped up and sat on my stomach.,True,1,affection,affection,17593,cat jumped sad sat stomach
6880,598,24h,I finally had time to play Legend of Zelda with my sister.,I finally had time to play Legend of Zelda with my sister.,True,1,affection,affection,18585,finally legends played sister time zelda
6895,598,3m,I managed to finish another semester of school.,I managed to finish another semester of school.,True,1,achievement,achievement,50248,finished managed school semester
6903,598,3m,I am almost done with finals and I will be on summer vacation.,I am almost done with finals and I will be on summer vacation.,True,1,enjoy_the_moment,enjoy_the_moment,61504,finally summer vacation
6905,598,3m,I had a sincere conversation with my coworker Kate,I had a sincere conversation with my coworker Kate,True,1,bonding,bonding,66708,conversation coworker kate sincerely
6985,3315,3m,I'm making arrangements to fly out to Kansas for a June weekend. It's making me feel more independent and proud of who I have become over the years. Just being able to afford and purchase the ticket fills me up with joy.,I'm making arrangements to fly out to Kansas for a June weekend. It's making me feel more independent and proud of who I have become over the years. Just being able to afford and purchase the ticket fills me up with joy.,True,3,achievement,achievement,44653,afford arranged feel filled flying im independent joy june kansas proud purchased tickets weekend
6986,3315,3m,"We had a goodbye party for one of my favorite coaches. He had been told to look for another job, and we felt bad for him since he was so nice to us. While the party was bittersweet, we were all happy to be together for one last time.","We had a goodbye party for one of my favorite coaches. He had been told to look for another job, and we felt bad for him since he was so nice to us. While the party was bittersweet, we were all happy to be together for one last time.",True,3,bonding,bonding,54334,bad bittersweet coach favorite goodbye job nice party party time told
7228,2352,24h,I am planning another trip upcoming in August. This one is a week-long trip in Colorado. Planning makes me so excited. I love seeing everything coming together and falling into place. I will probably continue to be happy about this randomly up to the point of the actual trip.,I am planning another trip upcoming in August. This one is a week-long trip in Colorado. Planning makes me so excited. I love seeing everything coming together and falling into place. I will probably continue to be happy about this randomly up to the point of the actual trip.,True,5,enjoy_the_moment,enjoy_the_moment,1643,actual august colorado coming continue excited fall love makes planned planned random trip trip trip upcoming weeklong
7229,2352,24h,"This happened yesterday evening, and it may really seem like a petty, insignificant thing to most people. I have been really tired due to traveling and uneven sleeping patterns. My neck and shoulders have really been tense and uncomfortable. My husband noted this, as I was rubbing my right shoulder and twisting my neck to relieve the tension to no avail. He offered to give me a massage, and I was thrilled to bits. I fell asleep while he was loosing up knots, and though it was somewhat painful, it was much needed. I woke up this morning feeling so loose and hardly no tension in my neck and shoulders. This is so great! That pain was bothering me for days!","This happened yesterday evening, and it may really seem like a petty, insignificant thing to most people. I have been really tired due to traveling and uneven sleeping patterns. My neck and shoulders have really been tense and uncomfortable. My husband noted this, as I was rubbing my right shoulder and twisting my neck to relieve the tension to no avail. He offered to give me a massage, and I was thrilled to bits. I fell asleep while he was loosing up knots, and though it was somewhat painful, it was much needed. I woke up this morning feeling so loose and hardly no tension in my neck and shoulders. This is so great! That pain was bothering me for days!",True,9,affection,affection,16706,asleep avail bit bothering day due evening feel fell happened husband insignificant knot loose loose massage morning neck neck neck note offer pain pain pattern people petty relieved rub shoulder shoulder shoulder sleep tensed tension tension thrilled tired travel twist uncomfortable uneven woke
7430,12715,24h,"I was finally able to take the necessary steps to start learning Japanese and I finally read my first sentence, it felt really great inside.","I was finally able to take the necessary steps to start learning Japanese and I finally read my first sentence, it felt really great inside.",True,1,achievement,achievement,664,finally finally inside japanese learned read sentence started step
7506,4509,24h,I ate dinner with my favorite person.,I ate dinner with my favorite person.,True,1,affection,enjoy_the_moment,1666,ate dinner favorite person
8111,2035,24h,I finally cleaned out my basement.,I finally cleaned out my basement.,True,1,achievement,achievement,700,basement cleaned finally
8121,2035,3m,I bought lottery tickets for the first time in a few months.,I bought lottery tickets for the first time in a few months.,True,1,achievement,achievement,68284,bought lottery tickets time
8394,4985,24h,My new boss appreciated the work i put in,My new boss appreciated the work i put in,True,1,achievement,achievement,709,appreciated boss
8459,1544,24h,My cat cuddled with me when I went to sleep.,My cat cuddled with me when I went to sleep.,True,1,affection,affection,1708,cat cuddled sleep
8461,1544,24h,My dad made me a bagel for breakfast without me asking.,My dad made me a bagel for breakfast without me asking.,True,1,affection,affection,11203,bagel breakfast dad
8463,1544,24h,I got nominated for a leadership position in a club that I care about.,I got nominated for a leadership position in a club that I care about.,True,1,achievement,achievement,18920,care club leadership nominated positive
8682,815,24h,I saw some friends that I had not seen in a while and it was good to reconnect.,I saw some friends that I had not seen in a while and it was good to reconnect.,True,1,bonding,bonding,730,friend reconnected
8687,815,24h,a friend came over and helped me fix something that has been giving me trouble.,a friend came over and helped me fix something that has been giving me trouble.,True,1,bonding,bonding,17918,fixed friend giving helped trouble
8712,815,24h,I got to talk to an old friend.,I got to talk to an old friend.,True,1,bonding,bonding,96585,friend talked
8859,1692,3m,An event that made me happy was visiting Denver Colorado last month. I went to visit Denver as a small vacation for myself. It made me happy because it was the first time I had traveled in awhile.,An event that made me happy was visiting Denver Colorado last month. I went to visit Denver as a small vacation for myself. It made me happy because it was the first time I had traveled in awhile.,True,3,enjoy_the_moment,enjoy_the_moment,39591,awhile colorado denver denver event time travel vacation visit visit
8861,1692,3m,An event that made me happy was taking my last exam last week. I will be graduating and it is the start of a new chapter in my life.,An event that made me happy was taking my last exam last week. I will be graduating and it is the start of a new chapter in my life.,True,2,achievement,achievement,43577,chapter event exam graduation life started taking
9018,12955,24h,I made my goal of losing 10 pounds.,I made my goal of losing 10 pounds.,True,1,achievement,achievement,739,goal lose pounds
9410,5439,24h,I got to eat some great food from my mom that I hadn't had in awhile,I got to eat some great food from my mom that I hadn't had in awhile,True,1,affection,affection,1754,awhile eat food hadnt mom
9601,986,24h,I got to watch my favorite tv show.,I got to watch my favorite tv show.,True,1,leisure,leisure,1267,favorite tv watched
9602,986,24h,I was able to leave work early.,I was able to leave work early.,True,1,achievement,achievement,1763,leave
9613,986,24h,I got to sleep in today.,I got to sleep in today.,True,1,leisure,leisure,29027,sleep
9617,986,3m,I won $100 on a lottery scratch off ticket.,I won $100 on a lottery scratch off ticket.,True,1,achievement,achievement,50290,lottery scratch tickets won
9623,986,3m,I achieved my exercise goal for the week.,I achieved my exercise goal for the week.,True,1,achievement,achievement,65569,achieved exercise goal
10078,1474,24h,I saw my grandparents and hung out with them,I saw my grandparents and hung out with them,True,1,affection,affection,84299,grandparents hung
10079,1474,24h,I had a good workout at my gym,I had a good workout at my gym,True,1,exercise,exercise,85292,gym workout
10154,3324,24h,"I got to go get some chinese food, I hadnt had any in a long time.","I got to go get some chinese food, I hadnt had any in a long time.",True,1,leisure,leisure,1284,chinese food hadnt time
10331,13496,24h,"Did well in the videogame I was playing
","Did well in the videogame I was playing
",True,1,leisure,leisure,794,played videogame
10333,13496,24h,Had a delicious lunch,Had a delicious lunch,True,1,enjoy_the_moment,enjoy_the_moment,1789,delicious lunch
10689,2888,24h,I ate lunch with an old friend I hadn't seen in a while.,I ate lunch with an old friend I hadn't seen in a while.,True,1,bonding,bonding,14601,ate friend hadnt lunch
10783,2079,24h,I got my paycheck.,I got my paycheck.,True,1,achievement,achievement,1809,paycheck
10785,2079,3m,I went out on a fun Las Vegas trip.,I went out on a fun Las Vegas trip.,True,1,enjoy_the_moment,leisure,37826,fun las trip vegas
10791,2079,24h,My mom brought me pizza and ice cream so I didn't have to cook dinner.,My mom brought me pizza and ice cream so I didn't have to cook dinner.,True,1,affection,affection,100044,brought cooked cream didnt dinner ice mom pizza
11086,1853,24h,I got to spend time with my parents.,I got to spend time with my parents.,True,1,affection,affection,15388,parents spend time
11188,2169,24h,I was accepted for a higher paying study on mechanical turk. I need the money and I was thrilled that I could earn the extra money in this way.,I was accepted for a higher paying study on mechanical turk. I need the money and I was thrilled that I could earn the extra money in this way.,True,2,achievement,achievement,1822,accepted earned extra mechanical money money pay study thrilled turk
11190,2169,24h,A cute guy that I think I might have some interest in came up to me and started talking to me. I really enjoying talking and making jokes with this guy.,A cute guy that I think I might have some interest in came up to me and started talking to me. I really enjoying talking and making jokes with this guy.,True,2,affection,affection,11528,cute enjoyed guy guy joke started talked talked
11191,2169,24h,My boyfriend came home after a long day at work and said that he was happy to see me. He also said he was hoping that I would be home when he got here.,My boyfriend came home after a long day at work and said that he was happy to see me. He also said he was hoping that I would be home when he got here.,True,2,affection,affection,12519,boyfriend day home home hope
11195,2169,3m,I was chosen to represent my place of employment at a job fair.,I was chosen to represent my place of employment at a job fair.,True,1,achievement,achievement,58135,chosen employer fair job representative
